timestamp,speed,angle,esc_timestamp,state
1751946141.1484544,"[72, -84, -68, 49]","[17507, 31733, 17225, 25447]","[167766, 167767, 167769, 167764]","[0, 0, 0, 0]"
1751946141.248193,"[45, -46, -56, 39]","[20719, 28878, 14652, 28990]","[167826, 167827, 167829, 167824]","[0, 0, 0, 0]"
1751946141.3488173,"[72, -74, -53, 76]","[23708, 25955, 11625, 32004]","[167886, 167887, 167889, 167884]","[0, 0, 0, 0]"
1751946141.4484293,"[18, -34, -31, 44]","[26608, 23082, 8931, 2360]","[167946, 167947, 167949, 167944]","[0, 0, 0, 0]"
1751946141.5486472,"[22, -17, -15, 6]","[27537, 21946, 7878, 3423]","[168006, 168007, 168009, 168004]","[0, 0, 0, 0]"
1751946141.6486952,"[-70, -47, -47, -57]","[27547, 20399, 6435, 3702]","[168066, 168067, 168069, 168064]","[0, 0, 0, 0]"
1751946141.7683396,"[-56, -16, -23, -48]","[25175, 18950, 4862, 1203]","[168126, 168127, 168129, 168124]","[0, 0, 0, 0]"
1751946141.869203,"[-47, -27, -18, -52]","[22110, 18026, 4067, 30945]","[168186, 168187, 168189, 168184]","[0, 0, 0, 0]"
1751946141.9707875,"[-28, -45, -45, -28]","[19778, 16073, 2312, 28810]","[168246, 168247, 168249, 168244]","[0, 0, 0, 0]"
1751946142.0681968,"[-23, -50, -58, -35]","[18298, 13391, 32319, 27218]","[168306, 168307, 168309, 168304]","[0, 0, 0, 0]"
1751946142.1682596,"[-38, -39, -48, -40]","[16819, 11094, 29502, 25435]","[168366, 168367, 168369, 168364]","[0, 0, 0, 0]"
1751946142.2694802,"[-50, -33, -40, -41]","[14515, 9133, 27592, 22993]","[168426, 168427, 168429, 168424]","[0, 0, 0, 0]"
1751946142.3691657,"[-51, -48, -24, -40]","[11793, 7460, 25887, 20374]","[168486, 168487, 168489, 168484]","[0, 0, 0, 0]"
1751946142.4896462,"[-40, -51, -44, -27]","[9270, 4959, 24055, 18397]","[168546, 168547, 168549, 168544]","[0, 0, 0, 0]"
1751946142.5886068,"[-31, -28, -50, -41]","[7317, 2337, 21467, 16777]","[168606, 168607, 168609, 168604]","[0, 0, 0, 0]"
1751946142.6892657,"[-33, -39, -41, -52]","[5557, 465, 18871, 14320]","[168666, 168667, 168669, 168664]","[0, 0, 0, 0]"
1751946142.790699,"[-34, -36, -41, -46]","[3389, 31268, 16763, 11904]","[168726, 168727, 168729, 168724]","[0, 0, 0, 0]"
1751946142.8896587,"[-41, -54, -25, -42]","[943, 29092, 14945, 9735]","[168786, 168787, 168789, 168784]","[0, 0, 0, 0]"
1751946142.9899533,"[-35, -33, -26, -43]","[29311, 24407, 10476, 5676]","[168906, 168907, 168909, 168904]","[0, 0, 0, 0]"
1751946143.090133,"[-27, -16, -28, -25]","[27585, 22731, 8396, 3447]","[168966, 168967, 168969, 168964]","[0, 0, 0, 0]"
